# Format:
# name1, name2 ..., "  G*M,         Radius"

# Solar System:            Source: Wikipedia
Sun, sun,           "1.3271845e20,  6.957e8"
Mercury, mercury,   "2.2032532e13,  2439700"
Venus, venus,       "3.2487155e14,  6052000"
Earth, earth,       "3.9860041e14,  6371000"
Moon, moon,         "4.9048695e12,  1737500" 
Mars, mars,         "4.2829651e13,  3389500"
Ceres, ceres,       "6.26325e10,    469700"
Jupiter, jupiter,   "1.2668653e17,  6.9911e7"
Io, io,             "5.9614434e12,  1821600"
Europa, europa,     "3.2035599e12,  1560800"
Ganymede, ganymede, "9.8906452e12,  2634100"
Callisto, callisto, "7.1811330e12,  2410300"
Saturn, saturn,     "3.7931187e16,  5.8232e7"
Titan, titan,       "8.9782684e12,  2574730"
Uranus, uranus,     "5.793939e15,   2.5362e7"
Neptune, neptune,   "6.836529e15,   2.4622e7"
Triton, triton,     "1.4276328e12,  1353400"
Pluto, pluto,       "8.6966129e11,  1188300"
Eris, eris,         "1.067888e12,   1163000"

# Kerbal Space Program:     Source: KSP Wiki
Kerbol, kerbol,     "1.1723328e18,  261600000"
Moho, moho,         "1.6860938e11,  250000"
Eve, eve,           "8.1717302e13,  700000"
Gilly, gilly,       "8289449.8,     13000"
Kerbin, kerbin,     "3.5316e12,     600000"
Mun, mun,           "6.5138398e10,  200000"
Minmus, minmus,     "1.7658e9,      60000"
Duna, duna,         "3.0136321e11,  320000"
Ike, ike,           "1.8568369e10,  130000"
Dres, dres,         "2.1484489e10,  138000"
Jool, jool,         "2.8252800e14,  6000000"
Laythe, laythe,     "1.962e12,      500000"
Vall, vall,         "2.074815e11,   300000"
Tylo, tylo,         "2.82528e12,    600000"
Bop, bop,           "2.4868349e9,   65000"
Pol, pol,           "7.2170208e8,   44000"
Eeloo, eeloo,       "7.4410815e10,  210000"

# Custom Body created by zbk on (Mon Jul 10 13:49:51 2023):
haiwang, sea god, "2.002269e+00, 3.331e+06"
